DateTime,AltmanZScore
2023-03-31,3.712
2022-12-31,3.33
2022-09-30,3.948
2022-06-30,3.561
2022-03-31,4.612
2021-12-31,5.085
2021-09-30,5.079
2021-06-30,4.51
2021-03-31,4.636
2020-12-31,5.582
2020-09-30,4.087
2020-06-30,4.087
2020-03-31,3.984
2019-12-31,4.925
2019-09-30,10.46
2019-06-30,13.01
2019-03-31,12.43
2018-12-31,9.629
2018-09-30,11.14
2018-06-30,9.322
2018-03-31,8.306
2017-12-31,7.465
2017-09-30,8.563
2017-06-30,10.76
2017-03-31,11.03
2016-12-31,10.54
2016-09-30,11.96
2016-06-30,12.53
2016-03-31,10.97
2015-12-31,11.99
2015-09-30,12.68
2015-06-30,14.08
2015-03-31,18.53
2014-12-31,14.91
2014-09-30,14.17
