DateTime,AltmanZScore
2023-06-30,-6.611
2023-03-31,-6.356
2022-12-31,-5.974
2022-09-30,-5.335
2022-06-30,-2.889
2022-03-31,-2.644
2021-12-31,-2.443
2021-09-30,-2.505
2021-06-30,-2.437
2021-03-31,-2.343
2020-12-31,-2.155
2020-09-30,-1.922
2020-06-30,-1.886
2020-03-31,-1.788
2019-12-31,-1.591
2019-09-30,-1.46
2019-06-30,-0.7913
2019-03-31,-1.016
2018-12-31,-1.473
2018-09-30,-0.435
2018-06-30,-0.2865
2018-03-31,-0.164
2017-12-31,0.0465
2017-09-30,-0.2729
2017-06-30,-0.3335
2017-03-31,-0.2452
2016-12-31,-0.0058
2016-09-30,0.2904
2016-06-30,-0.0353
2016-03-31,-0.0686
2015-12-31,-0.065
2015-09-30,0.0406
2015-06-30,0.2407
2015-03-31,0.5856
2014-12-31,0.5908
2014-09-30,1.485
2014-06-30,1.302
2014-03-31,1.216
2013-12-31,0.9038
2013-09-30,0.0555
2013-06-30,0.0484
2013-03-31,-0.0028
2012-12-31,0.2242
2012-09-30,0.4053
2012-06-30,0.3762
2012-03-31,0.4213
2011-12-31,0.4137
2011-09-30,-0.7496
2011-06-30,-0.3676
2011-03-31,-0.1836
