DateTime,AltmanZScore
2023-06-30,1.422
2023-03-31,1.409
2022-12-31,1.405
2022-09-30,1.392
2022-06-30,1.445
2022-03-31,1.459
2021-12-31,1.462
2021-09-30,1.473
2021-06-30,1.51
2021-03-31,1.549
2020-12-31,1.502
2020-09-30,1.52
2020-06-30,1.528
2020-03-31,1.526
2019-12-31,1.623
2019-09-30,1.557
2019-06-30,1.576
2019-03-31,1.567
2018-12-31,1.397
2018-09-30,1.462
2018-06-30,1.476
2018-03-31,1.517
2017-12-31,1.621
2017-09-30,1.643
2017-06-30,1.641
2017-03-31,1.71
2016-12-31,1.736
2016-09-30,1.706
2016-06-30,1.709
2016-03-31,1.678
2015-12-31,1.644
2015-09-30,1.703
2015-06-30,1.73
2015-03-31,1.7
2014-12-31,1.676
2014-09-30,1.671
2014-06-30,1.65
2014-03-31,1.668
2013-12-31,1.754
2013-09-30,1.88
2013-06-30,1.872
2013-03-31,1.912
2012-12-31,1.893
2012-09-30,1.062
2012-06-30,1.026
2012-03-31,0.9947
2011-12-31,1.766
2011-09-30,0.9516
2011-06-30,0.9814
2011-03-31,1.064
