DateTime,AltmanZScore
2023-03-31,3.388
2022-12-31,3.386
2022-09-30,3.121
2022-06-30,2.283
2022-03-31,2.028
2021-12-31,2.14
2021-09-30,4.265
2021-06-30,4.119
2021-03-31,3.905
2020-12-31,3.522
2020-09-30,3.035
2020-06-30,2.516
2020-03-31,2.068
2019-12-31,2.648
2019-09-30,6.387
2019-06-30,7.101
2019-03-31,6.759
2018-12-31,5.309
2018-09-30,6.932
2018-06-30,7.45
2018-03-31,5.99
2017-12-31,6.915
2017-09-30,8.26
2017-06-30,6.81
2017-03-31,7.536
2016-12-31,9.414
2016-09-30,6.901
2016-06-30,6.515
2016-03-31,6.379
2015-12-31,7.66
2015-09-30,8.904
2015-06-30,8.111
2015-03-31,7.816
2014-12-31,6.968
2014-09-30,6.138
2014-06-30,7.567
2014-03-31,8.895
2013-12-31,9.401
2013-09-30,7.756
2013-06-30,7.689
2013-03-31,7.79
2012-12-31,8.386
2012-09-30,9.043
2012-06-30,9.014
2012-03-31,8.576
2011-12-31,10.21
2011-09-30,9.319
2011-06-30,9.007
2011-03-31,8.047
2010-12-31,8.163
