DateTime,AltmanZScore
2023-03-31,-2.544
2022-12-31,-2.1
2022-09-30,-0.4025
2022-06-30,0.1624
2022-03-31,0.2072
2021-12-31,1.8
2021-09-30,1.526
2021-06-30,1.663
2021-03-31,2.098
2020-12-31,0.7337
2020-09-30,-0.6643
2020-06-30,-0.8376
2020-03-31,-14.72
2019-12-31,-15.65
2019-09-30,-11.61
2019-06-30,-11.8
2019-03-31,-9.863
2018-12-31,-8.244
2018-09-30,-4.992
2018-06-30,-9.48
2018-03-31,-9.357
2017-12-31,-7.327
2017-09-30,-5.589
2017-06-30,-4.746
2017-03-31,-3.792
2016-12-31,-3.042
2016-09-30,-0.6222
2016-06-30,-0.4132
2016-03-31,1.335
2015-12-31,2.114
2015-09-30,2.301
2015-06-30,1.122
2015-03-31,0.7743
2014-12-31,0.2105
2014-09-30,0.3999
2014-06-30,-0.6612
2014-03-31,0.5655
2013-12-31,1.896
2013-09-30,3.554
2013-06-30,2.345
2013-03-31,1.748
2012-12-31,1.097
2012-09-30,1.024
2012-06-30,0.8226
2012-03-31,2.1
2011-12-31,1.723
2011-09-30,2.618
2011-06-30,3.477
2011-03-31,3.488
2010-12-31,4.008
