DateTime,AltmanZScore
2022-12-31,5.67
2022-09-30,4.582
2022-06-30,4.588
2022-03-31,5.498
2021-12-31,5.738
2021-09-30,5.28
2021-06-30,4.655
2021-03-31,4.261
2020-12-31,3.725
2020-09-30,4.199
2020-06-30,4.115
2020-03-31,5.099
2019-12-31,5.795
2019-09-30,4.473
2019-06-30,4.096
2019-03-31,3.867
2018-12-31,3.874
2018-09-30,3.947
2018-06-30,3.938
2018-03-31,3.425
2017-12-31,3.087
2017-09-30,3.034
2017-06-30,2.621
2017-03-31,2.63
2016-12-31,2.663
2016-09-30,2.45
2016-06-30,2.278
2016-03-31,2.289
2015-12-31,2.381
2015-09-30,3.742
2015-06-30,4.085
2015-03-31,4.476
2014-12-31,4.262
2014-09-30,3.762
2014-06-30,4.004
2014-03-31,3.868
2013-12-31,3.436
2013-09-30,3.276
2013-06-30,3.296
2013-03-31,2.97
2012-12-31,4.303
2012-09-30,4.071
2012-06-30,4.657
2012-03-31,5.43
2011-12-31,6.269
2011-09-30,5.588
2011-06-30,4.408
2011-03-31,5.316
2010-12-31,4.571
2010-09-30,3.572
