DateTime,AltmanZScore
2023-03-31,11.71
2022-12-31,9.707
2022-09-30,4.867
2022-06-30,6.798
2022-03-31,8.128
2021-12-31,36.87
2021-09-30,34.03
2021-06-30,18.35
2021-03-31,19.65
2020-12-31,33.54
2020-09-30,13.65
2020-06-30,4.445
2020-03-31,7.728
2019-12-31,27.44
2019-09-30,34.23
2019-06-30,36.44
2019-03-31,24.62
2018-12-31,17.04
2018-09-30,49.59
2018-06-30,36.11
2018-03-31,31.18
2017-12-31,41.06
2017-09-30,51.28
2017-06-30,54.88
2017-03-31,34.47
2016-12-31,34.47
2016-09-30,59.35
2016-06-30,40.63
2016-03-31,44.92
2015-12-31,39.33
2015-09-30,44.41
2015-06-30,59.33
2015-03-31,24.39
2014-12-31,26.41
2014-09-30,24.35
2014-06-30,36.18
2014-03-31,32.42
2013-12-31,15.0
2013-09-30,20.72
2013-06-30,19.97
2013-03-31,19.44
2012-12-31,23.22
2012-09-30,24.95
2012-06-30,27.46
2012-03-31,23.61
2011-12-31,26.82
2011-09-30,28.72
2011-06-30,37.13
2011-03-31,28.8
2010-12-31,30.83
