DateTime,AltmanZScore
2023-04-30,17.69
2023-01-31,18.14
2022-10-31,17.84
2022-07-31,17.71
2022-04-30,16.56
2022-01-31,20.75
2021-10-31,24.33
2021-07-31,22.44
2021-04-30,21.94
2021-01-31,20.89
2020-10-31,21.0
2020-07-31,21.98
2020-04-30,16.8
2020-01-31,19.06
2019-10-31,14.97
2019-07-31,12.98
2019-04-30,5.439
2019-01-31,12.22
2018-10-31,10.14
2018-07-31,9.955
2018-04-30,9.518
2018-01-31,10.47
2017-10-31,9.824
2017-07-31,9.965
2017-04-30,14.86
2017-01-31,14.22
2016-10-31,14.83
2016-07-31,14.31
2016-04-30,12.32
2016-01-31,15.84
2015-10-31,16.24
2015-07-31,15.15
2015-04-30,13.19
2015-01-31,12.87
2014-10-31,12.83
2014-07-31,11.48
2014-04-30,5.292
2014-01-31,5.423
2013-10-31,6.771
2013-07-31,5.744
2013-04-30,6.168
2013-01-31,8.664
2012-10-31,7.648
2012-07-31,7.259
2012-04-30,7.057
2012-01-31,6.704
2011-10-31,6.352
2011-07-31,5.452
2011-04-30,5.814
2011-01-31,6.178
