DateTime,AltmanZScore
2023-03-31,2.987
2022-12-31,2.854
2022-09-30,2.685
2022-06-30,2.666
2022-03-31,2.72
2021-12-31,2.534
2021-09-30,2.457
2021-06-30,2.266
2021-03-31,2.301
2020-12-31,2.22
2020-09-30,2.543
2020-06-30,2.972
2020-03-31,2.917
2019-12-31,3.647
2019-09-30,3.542
2019-06-30,3.529
2019-03-31,3.503
2018-12-31,3.584
2018-09-30,3.819
2018-06-30,3.656
2018-03-31,3.51
2017-12-31,3.236
2017-09-30,3.226
2017-06-30,2.918
2017-03-31,3.015
2016-12-31,3.216
2016-09-30,2.512
2016-06-30,2.011
2016-03-31,1.69
2015-12-31,2.536
2015-09-30,2.203
2015-06-30,2.932
2015-03-31,2.967
2014-12-31,2.962
2014-09-30,3.328
2014-06-30,3.19
2014-03-31,3.405
2013-12-31,6.148
2013-09-30,4.745
2013-06-30,4.458
2013-03-31,4.984
2012-12-31,4.27
2012-09-30,3.897
2012-06-30,4.354
2012-03-31,4.704
2011-12-31,4.136
2011-09-30,4.239
2011-06-30,4.327
2011-03-31,4.032
2010-12-31,4.033
