DateTime,AltmanZScore
2023-06-30,0.3862
2023-03-31,0.3994
2022-12-31,0.4073
2022-09-30,0.4171
2022-06-30,0.4605
2022-03-31,0.5244
2021-12-31,0.536
2021-09-30,0.561
2021-06-30,0.5477
2021-03-31,0.5844
2020-12-31,0.5283
2020-09-30,0.5097
2020-06-30,0.4788
2020-03-31,0.4494
2019-12-31,0.4548
2019-09-30,0.436
2019-06-30,0.3967
2019-03-31,0.4115
2018-12-31,0.4523
2018-09-30,0.4679
2018-06-30,0.4859
2018-03-31,0.5078
2017-12-31,0.5151
2017-09-30,0.4723
2017-06-30,0.4692
2017-03-31,0.4937
2016-12-31,0.5059
2016-09-30,0.475
2016-06-30,0.4706
2016-03-31,0.4826
2015-12-31,0.4874
2015-09-30,0.5021
2015-06-30,0.5261
2015-03-31,0.5423
2014-09-30,0.5975
2014-06-30,0.6428
2014-03-31,0.6843
2013-12-31,0.695
2013-09-30,0.7053
2013-06-30,0.7412
2013-03-31,0.7753
2012-12-31,0.7466
2012-09-30,0.3745
2012-06-30,0.7179
2012-03-31,0.3757
2011-12-31,0.3445
2011-09-30,0.3569
2011-06-30,0.3757
2011-03-31,0.4029
2010-12-31,0.3643
