DateTime,AltmanZScore
2023-03-31,-0.1554
2022-12-31,-0.3365
2022-09-30,-0.4705
2022-06-30,-0.3152
2022-03-31,0.3012
2021-12-31,0.9513
2021-09-30,2.044
2021-06-30,2.604
2021-03-31,3.231
2020-12-31,3.377
2020-09-30,1.109
2020-06-30,1.156
2020-03-31,0.9856
2019-12-31,1.677
2019-09-30,2.482
2019-06-30,4.144
2019-03-31,4.094
2018-12-31,13.15
2018-09-30,17.12
2018-06-30,17.82
2018-03-31,17.98
2017-12-31,14.67
2017-09-30,15.35
2017-06-30,17.34
2017-03-31,19.27
2016-12-31,19.47
2016-09-30,21.14
2016-06-30,20.99
2016-03-31,14.8
2015-12-31,18.56
2015-09-30,14.9
2015-06-30,16.18
2015-03-31,19.73
2014-12-31,22.86
2014-09-30,16.23
2014-06-30,19.82
2014-03-31,27.67
2013-12-31,21.72
2013-09-30,26.97
2013-06-30,22.72
2013-03-31,19.32
2012-12-31,21.33
2012-09-30,20.49
2012-06-30,13.69
2012-03-31,14.26
2011-12-31,8.202
2011-09-30,8.672
2011-06-30,11.21
2011-03-31,3.607
2010-12-31,1.509
