DateTime,AltmanZScore
2023-03-31,2.329
2022-12-31,1.778
2022-09-30,1.911
2022-06-30,2.329
2022-03-31,2.368
2021-12-31,4.114
2021-09-30,6.127
2021-06-30,7.878
2021-03-31,8.066
2020-12-31,6.864
2020-09-30,8.33
2020-06-30,11.76
2020-03-31,16.18
2019-12-31,8.038
2019-09-30,7.622
2019-06-30,9.964
2019-03-31,8.295
2018-12-31,4.904
2018-09-30,4.779
2018-06-30,4.142
2018-03-31,3.3
2017-12-31,4.365
2017-09-30,11.49
2017-06-30,10.24
2017-03-31,8.288
2016-12-31,6.19
2016-09-30,8.259
2016-06-30,9.586
2016-03-31,6.626
2015-12-31,5.185
2015-09-30,7.306
2015-06-30,8.154
2015-03-31,6.478
2014-12-31,10.14
2014-09-30,13.04
2014-06-30,20.9
2014-03-31,19.47
2013-12-31,17.79
2013-09-30,13.29
2013-06-30,12.29
2013-03-31,11.18
2012-12-31,15.31
2012-09-30,11.35
2012-06-30,11.02
2012-03-31,11.34
2011-12-31,9.96
2011-09-30,10.96
2011-06-30,11.61
2011-03-31,11.31
2010-12-31,10.15
