DateTime,AltmanZScore
2023-03-31,2.269
2022-12-31,2.053
2022-09-30,1.807
2022-06-30,1.713
2022-03-31,1.657
2021-12-31,1.488
2021-09-30,1.862
2021-06-30,1.97
2021-03-31,2.041
2020-12-31,1.813
2020-09-30,1.714
2020-06-30,1.465
2020-03-31,1.262
2019-12-31,1.093
2019-09-30,0.8238
2019-06-30,0.7796
2019-03-31,-0.2647
2018-12-31,-0.4258
2018-09-30,-0.201
2018-06-30,-0.2709
2018-03-31,-0.2929
2017-12-31,-0.2235
2017-09-30,-0.4068
2017-06-30,-0.0374
2017-03-31,0.4176
2016-12-31,0.7395
2016-09-30,1.452
2016-06-30,1.674
2016-03-31,1.685
2015-12-31,1.793
2015-09-30,1.568
2015-06-30,1.284
2015-03-31,1.431
2014-12-31,1.385
2014-09-30,1.678
2014-06-30,1.832
2014-03-31,2.211
2013-12-31,2.165
2013-09-30,1.438
2013-06-30,1.295
2013-03-31,1.281
2012-12-31,1.395
2012-09-30,1.551
2012-06-30,1.745
2012-03-31,1.712
2011-12-31,1.713
2011-09-30,1.323
2011-06-30,1.022
2011-03-31,0.7237
2010-12-31,0.5596
