DateTime,AltmanZScore
2023-03-31,-2.435
2022-12-31,-4.246
2022-09-30,-7.757
2022-06-30,-9.536
2022-03-31,-9.047
2021-12-31,-12.24
2021-09-30,-7.164
2021-06-30,-6.873
2021-03-31,-2.882
2020-12-31,-9.371
2020-09-30,-11.46
2020-06-30,-14.43
2020-03-31,-24.65
2019-12-31,-62.1
2019-09-30,-87.46
2019-06-30,-87.12
2019-03-31,-68.69
2018-12-31,-47.57
2018-09-30,-12.72
2018-06-30,-12.37
2018-03-31,-10.63
2017-12-31,-6.745
2017-09-30,-2.95
2017-06-30,-2.92
2017-03-31,-1.397
2016-12-31,-1.265
2016-09-30,1.812
2016-06-30,4.977
2016-03-31,0.8478
2015-12-31,0.0479
2015-09-30,-1.194
2015-06-30,-1.727
2015-03-31,-8.842
2014-12-31,-4.69
2014-09-30,-2.846
2014-06-30,-0.2293
2014-03-31,-2.846
2013-12-31,-4.105
2013-09-30,-2.57
2013-06-30,-4.087
2013-03-31,-2.729
2012-12-31,-3.009
2012-09-30,-1.974
2012-06-30,-1.48
2012-03-31,2.008
2011-12-31,0.7326
2011-09-30,4.083
2011-06-30,4.346
2011-03-31,8.185
2010-12-31,8.656
