DateTime,AltmanZScore
2023-03-31,2.973
2022-12-31,2.915
2022-09-30,2.738
2022-06-30,2.743
2022-03-31,2.73
2021-12-31,2.82
2021-09-30,2.627
2021-06-30,2.7
2021-03-31,2.516
2020-12-31,2.416
2020-09-30,2.473
2020-06-30,2.482
2020-03-31,2.536
2019-12-31,2.708
2019-09-30,2.502
2019-06-30,4.093
2019-03-31,3.892
2018-12-31,4.024
2018-09-30,4.213
2018-06-30,3.932
2018-03-31,4.112
2017-12-31,3.732
2017-09-30,3.766
2017-06-30,3.726
2017-03-31,5.121
2016-12-31,4.994
2016-09-30,4.85
2016-06-30,4.518
2016-03-31,4.641
2015-12-31,4.709
2015-09-30,4.396
2015-06-30,4.58
2015-03-31,4.712
2014-12-31,4.443
2014-09-30,5.052
2014-06-30,5.003
2014-03-31,5.147
2013-12-31,5.016
2013-09-30,4.531
2013-06-30,4.58
2013-03-31,4.828
2012-12-31,4.621
2012-09-30,5.168
2012-06-30,4.92
2012-03-31,5.077
2011-12-31,5.103
2011-09-30,5.085
2011-06-30,5.097
2011-03-31,5.375
2010-12-31,5.102
