DateTime,AltmanZScore
2023-06-30,3.364
2023-03-31,3.374
2022-12-31,3.213
2022-09-30,2.995
2022-06-30,3.203
2022-03-31,3.317
2021-12-31,4.207
2021-09-30,4.387
2021-06-30,5.49
2021-03-31,5.136
2020-12-31,5.238
2020-09-30,5.823
2020-06-30,6.216
2020-03-31,5.652
2019-12-31,6.735
2019-09-30,6.146
2019-06-30,6.583
2019-03-31,7.522
2018-12-31,8.084
2018-09-30,8.18
2018-06-30,9.744
2018-03-31,5.837
2017-12-31,5.231
2017-09-30,4.981
2017-06-30,5.275
2017-03-31,5.454
2016-12-31,5.114
2016-09-30,4.05
2016-06-30,3.902
2016-03-31,4.114
2015-12-31,5.151
2015-09-30,4.87
2015-06-30,7.948
2015-03-31,7.219
2014-12-31,6.127
2014-09-30,5.056
2014-06-30,6.161
2014-03-31,5.132
2013-12-31,4.204
2013-09-30,3.866
2013-06-30,3.406
2013-03-31,3.424
2012-12-31,3.22
2012-09-30,2.994
2012-06-30,3.44
2012-03-31,3.386
2011-12-31,3.065
2011-09-30,2.912
2011-06-30,3.287
2011-03-31,3.176
