DateTime,AltmanZScore
2023-03-31,2.18
2022-12-31,2.422
2022-09-30,1.95
2022-06-30,2.041
2022-03-31,2.95
2021-12-31,2.571
2021-09-30,1.46
2021-06-30,3.403
2021-03-31,2.302
2020-12-31,1.968
2020-09-30,2.121
2020-06-30,1.724
2020-03-31,2.403
2019-12-31,3.084
2019-09-30,3.097
2019-06-30,2.918
2019-03-31,2.733
2018-12-31,2.584
2018-09-30,2.391
2018-06-30,2.347
2018-03-31,2.027
2017-12-31,1.84
2017-09-30,1.991
2017-06-30,2.334
2017-03-31,3.717
2016-12-31,3.545
2016-09-30,2.932
2016-06-30,2.796
2016-03-31,2.909
2015-12-31,2.774
2015-09-30,2.495
2015-06-30,2.296
2015-03-31,2.297
2014-12-31,2.159
2014-09-30,2.0
2014-06-30,2.148
2014-03-31,2.455
2013-12-31,2.012
2013-09-30,1.547
2013-06-30,-1.305
2013-03-31,-1.785
2012-12-31,-1.384
2012-09-30,-1.309
2012-06-30,1.498
2012-03-31,1.969
2011-12-31,1.508
2011-09-30,1.565
2011-06-30,2.227
2011-03-31,3.152
2010-12-31,3.253
