DateTime,AltmanZScore
2023-03-31,0.2184
2022-12-31,0.2377
2022-09-30,0.2837
2022-06-30,0.2864
2022-03-31,0.2864
2021-12-31,0.2864
2021-09-30,0.4952
2021-06-30,0.463
2021-03-31,0.5132
2020-12-31,0.4854
2020-09-30,0.384
2020-06-30,0.4092
2020-03-31,0.3657
2019-12-31,0.4146
2019-09-30,0.4173
2019-06-30,0.3997
2019-03-31,0.3538
2018-12-31,0.3367
2018-09-30,0.3773
2018-06-30,0.3409
2018-03-31,0.3191
2017-12-31,0.3474
2017-09-30,0.4083
2017-06-30,0.3937
2017-03-31,0.4186
2016-12-31,0.3833
2016-09-30,0.4074
2016-06-30,0.381
2016-03-31,0.3943
2015-12-31,0.4258
2015-09-30,0.4446
2015-06-30,0.4242
2015-03-31,0.437
2014-12-31,0.4328
2014-09-30,0.4288
2014-06-30,0.4466
2014-03-31,0.5014
2013-12-31,0.495
2013-09-30,0.4971
2013-06-30,0.4795
2013-03-31,0.4807
2012-12-31,0.4388
2012-09-30,0.4504
2012-06-30,0.2772
2012-03-31,0.2748
2011-12-31,0.2947
2011-09-30,0.317
2011-06-30,0.3158
2011-03-31,0.3249
2010-12-31,0.3083
