DateTime,AltmanZScore
2023-03-31,2.648
2022-12-31,2.832
2022-09-30,3.869
2022-06-30,3.205
2022-03-31,4.377
2021-12-31,6.485
2021-09-30,6.613
2021-06-30,7.631
2021-03-31,10.71
2020-12-31,9.992
2020-09-30,7.555
2020-06-30,7.638
2020-03-31,3.599
2019-12-31,3.888
2019-09-30,4.752
2019-06-30,9.186
2019-03-31,10.11
2018-12-31,8.294
2018-09-30,8.612
2018-06-30,7.423
2018-03-31,5.498
2017-12-31,8.569
2017-09-30,6.52
2017-06-30,5.231
2017-03-31,3.977
2016-12-31,4.432
2016-09-30,5.469
2016-06-30,4.028
2016-03-31,3.672
2015-12-31,3.23
2015-09-30,4.946
2015-06-30,5.334
