DateTime,AltmanZScore
2022-12-31,1.766
2022-09-30,2.126
2022-06-30,3.028
2022-03-31,4.016
2021-12-31,6.137
2021-09-30,6.194
2021-06-30,5.554
2021-03-31,4.422
2020-12-31,4.319
2020-09-30,3.154
2020-06-30,3.299
2020-03-31,3.001
2019-12-31,3.237
2019-09-30,3.294
2019-06-30,3.774
2019-03-31,5.035
2018-12-31,4.517
2018-09-30,4.18
2018-06-30,3.417
2018-03-31,3.319
2017-12-31,2.727
2017-09-30,4.477
2017-06-30,10.67
2017-03-31,6.144
2016-12-31,2.988
2016-09-30,3.021
2016-06-30,1.366
2016-03-31,0.7044
2015-12-31,1.285
2015-09-30,0.9095
2015-06-30,-0.0184
2015-03-31,1.52
2014-12-31,1.146
2014-09-30,0.4199
2014-06-30,1.05
2014-03-31,1.061
2013-12-31,0.7903
2013-09-30,0.8445
2013-06-30,-0.7364
2013-03-31,-1.01
2012-12-31,-0.6057
2012-09-30,-0.3749
2012-06-30,-0.7971
2012-03-31,-0.3688
2011-12-31,-0.8713
2011-09-30,-0.748
2011-06-30,-0.8002
2011-03-31,-0.2573
2010-12-31,-0.5487
2010-09-30,-1.136
