DateTime,AltmanZScore
2023-06-30,8.718
2023-03-31,9.252
2022-12-31,8.515
2022-09-30,7.43
2022-06-30,7.416
2022-03-31,7.535
2021-12-31,7.077
2021-09-30,7.668
2021-06-30,7.322
2021-03-31,5.952
2020-12-31,5.438
2020-09-30,4.805
2020-06-30,4.684
2020-03-31,3.777
2019-12-31,4.854
2019-09-30,4.79
2019-06-30,4.739
2019-03-31,4.19
2018-12-31,4.505
2018-09-30,4.97
2018-06-30,8.352
2018-03-31,8.49
2017-12-31,7.887
2017-09-30,9.468
2017-06-30,9.273
2017-03-31,8.419
2016-12-31,8.397
2016-09-30,9.315
2016-06-30,9.707
2016-03-31,9.177
2015-12-31,7.297
2015-09-30,6.677
2015-06-30,6.313
2015-03-31,6.381
2014-12-31,5.851
2014-09-30,7.905
2014-06-30,9.434
2014-03-31,9.97
2013-12-31,8.154
2013-09-30,9.115
2013-06-30,9.539
2013-03-31,11.2
2012-12-31,8.025
2012-09-30,9.535
2012-06-30,7.987
2012-03-31,9.001
2011-12-31,6.392
2011-09-30,6.843
2011-06-30,5.416
2011-03-31,9.555
