DateTime,AltmanZScore
2023-03-31,2.329
2022-12-31,2.539
2022-09-30,2.568
2022-06-30,2.481
2022-03-31,2.318
2021-12-31,1.811
2021-09-30,1.165
2021-06-30,0.6962
2021-03-31,-0.125
2020-12-31,-0.6486
2020-09-30,-0.6732
2020-06-30,-0.0653
2020-03-31,0.5036
2019-12-31,1.303
2019-09-30,1.498
2019-06-30,1.746
2019-03-31,1.582
2018-12-31,1.557
2018-09-30,2.981
2018-06-30,2.981
2018-03-31,2.981
2017-12-31,3.768
2017-09-30,3.768
2017-06-30,3.768
2017-03-31,3.768
2016-12-31,3.768
2016-09-30,3.768
2016-06-30,3.768
2016-03-31,3.768
2015-12-31,3.768
2015-09-30,3.353
2015-06-30,3.21
2015-03-31,3.39
2014-12-31,2.443
2014-09-30,3.147
2014-06-30,3.835
2014-03-31,2.737
2013-12-31,2.504
