DateTime,AltmanZScore
2023-04-30,1.135
2023-01-31,2.214
2022-10-31,2.471
2022-07-31,3.086
2022-04-30,3.687
2022-01-31,3.509
2021-10-31,8.93
2021-07-31,7.809
2021-04-30,8.286
2021-01-31,21.62
2020-10-31,-1.594
2020-07-31,-2.707
2020-04-30,-3.32
2020-01-31,-3.465
2019-10-31,-4.594
2019-07-31,-3.994
2019-04-30,-4.295
2019-01-31,-3.832
2018-10-31,-3.321
2018-07-31,-2.974
2018-04-30,-2.634
2018-01-31,-2.577
2017-10-31,-2.509
2017-07-31,-3.46
2017-04-30,-3.356
2017-01-31,-3.096
2016-10-31,-2.611
2016-07-31,-2.144
2016-04-30,-2.32
2016-01-31,-2.456
2015-10-31,-1.762
2015-07-31,-1.665
2015-04-30,-1.086
2015-01-31,-1.122
2014-10-31,-0.0588
2014-07-31,0.4989
2014-04-30,-1.112
2014-01-31,-2.124
2013-10-31,-2.75
2013-07-31,-2.905
2013-04-30,-3.696
2013-01-31,-3.576
2012-10-31,-3.797
2012-07-31,-3.983
2012-04-30,-3.344
2012-01-31,-5.29
2011-10-31,-4.887
2011-07-31,-5.797
2011-04-30,-5.575
2011-01-31,-4.725
