DateTime,AltmanZScore
2023-03-31,0.4296
2022-12-31,0.47
2022-09-30,0.4962
2022-06-30,0.5003
2022-03-31,0.6202
2021-12-31,0.645
2021-09-30,0.6314
2021-06-30,0.694
2021-03-31,0.6577
2020-12-31,0.6008
2020-09-30,0.5567
2020-06-30,0.4557
2020-03-31,0.6349
2019-12-31,0.5752
2019-09-30,0.5944
2019-06-30,0.6074
2019-03-31,0.6117
2018-12-31,0.5216
2018-09-30,0.547
2018-06-30,0.5449
2018-03-31,0.5722
2017-12-31,0.5132
2017-09-30,0.5233
2017-06-30,0.451
2017-03-31,0.4905
2016-12-31,0.4864
2016-09-30,0.4907
2016-06-30,0.4897
2016-03-31,0.4901
2015-12-31,0.438
2015-09-30,0.4969
2015-06-30,0.4356
2015-03-31,0.49
2014-12-31,0.4774
2014-09-30,0.4895
2014-06-30,0.4435
2014-03-31,0.4858
2013-12-31,0.4656
2013-09-30,0.4737
2013-06-30,0.4264
2013-03-31,0.4443
2012-12-31,0.4562
2012-09-30,0.2887
2012-06-30,0.2614
2012-03-31,0.3208
2011-12-31,0.519
2011-09-30,0.2565
2011-06-30,0.2348
2011-03-31,0.2192
2010-12-31,0.1846
