DateTime,AltmanZScore
2023-03-31,1.072
2022-12-31,1.07
2022-09-30,1.228
2022-06-30,1.416
2022-03-31,1.604
2021-12-31,1.664
2021-09-30,1.507
2021-06-30,1.378
2021-03-31,1.255
2020-12-31,0.8745
2020-09-30,0.6951
2020-06-30,0.5644
2020-03-31,0.4567
2019-12-31,0.9991
2019-09-30,1.001
2019-06-30,1.108
2019-03-31,1.197
2018-12-31,1.096
2018-09-30,1.103
2018-06-30,1.144
2018-03-31,1.125
2017-12-31,1.356
2017-09-30,1.538
2017-06-30,1.564
2017-03-31,1.608
2016-12-31,1.403
2016-09-30,1.338
2016-06-30,1.317
2016-03-31,1.072
2015-12-31,0.9932
2015-09-30,1.041
2015-06-30,1.123
2015-03-31,1.138
2014-12-31,1.118
2014-09-30,1.461
2014-06-30,1.531
2014-03-31,1.605
2013-12-31,1.709
2013-09-30,1.708
2013-06-30,1.572
2013-03-31,1.565
2012-12-31,1.286
2012-09-30,1.375
2012-06-30,1.115
2012-03-31,1.159
2011-12-31,1.19
