DateTime,AltmanZScore
2023-06-30,0.5529
2023-03-31,0.5332
2022-12-31,0.5237
2022-09-30,0.5089
2022-06-30,0.5388
2022-03-31,0.6189
2021-12-31,0.6216
2021-09-30,0.6151
2021-06-30,0.5868
2021-03-31,0.5775
2020-12-31,0.5408
2020-09-30,0.4857
2020-06-30,0.5045
2020-03-31,0.4464
2019-12-31,0.5076
2019-09-30,0.5132
2019-06-30,0.5223
2019-03-31,0.538
2018-12-31,0.497
2018-09-30,0.4652
2018-06-30,0.4668
2018-03-31,0.4758
2017-12-31,0.4406
2017-09-30,0.4262
2017-06-30,0.403
2017-03-31,0.4255
2016-12-31,0.4214
2016-09-30,0.3714
2016-06-30,0.3305
2016-03-31,0.3493
2015-12-31,0.3573
2015-09-30,0.3607
2015-06-30,0.3612
2015-03-31,0.3683
2014-12-31,0.3633
2014-09-30,0.286
2014-06-30,0.333
2014-03-31,0.3277
2013-12-31,0.3499
2013-09-30,0.3768
2013-06-30,0.3642
2013-03-31,0.3827
2012-12-31,0.3917
2012-09-30,0.2911
2012-06-30,0.2944
2012-03-31,0.3502
2011-12-31,0.6379
2011-09-30,0.3941
2011-06-30,0.4048
2011-03-31,0.4325
