DateTime,AltmanZScore
2023-03-31,0.9525
2022-12-31,0.9676
2022-09-30,1.016
2022-06-30,1.037
2022-03-31,1.102
2021-12-31,1.183
2021-09-30,1.139
2021-06-30,1.161
2021-03-31,1.154
2020-12-31,1.074
2020-09-30,0.9619
2020-06-30,0.9675
2020-03-31,0.9903
2019-12-31,1.141
2019-09-30,1.126
2019-06-30,1.096
2019-03-31,1.068
2018-12-31,1.052
2018-09-30,1.066
2018-06-30,1.007
2018-03-31,0.987
2017-12-31,1.012
2017-09-30,0.998
2017-06-30,0.9882
2017-03-31,0.9622
2016-12-31,0.9849
2016-09-30,0.9269
2016-06-30,0.9079
2016-03-31,0.8784
2015-12-31,0.8767
2015-09-30,0.8821
2015-06-30,0.9383
2015-03-31,0.8809
2014-12-31,0.8859
2014-09-30,0.8758
2014-06-30,0.8799
2014-03-31,0.8922
2013-12-31,0.8776
2013-09-30,0.8484
2013-06-30,0.8407
2013-03-31,0.9365
2012-12-31,0.9033
2012-09-30,0.3712
2012-06-30,0.3571
2012-03-31,0.3629
2011-12-31,0.9287
2011-09-30,0.372
2011-06-30,0.416
2011-03-31,0.4129
2010-12-31,0.4322
