DateTime,AltmanZScore
2023-03-31,-3.605
2022-12-31,-3.018
2022-09-30,-3.454
2022-06-30,-1.984
2022-03-31,-1.772
2021-12-31,-1.385
2021-09-30,-0.7067
2021-06-30,0.5293
2021-03-31,3.156
2020-12-31,3.96
2020-09-30,5.139
2020-06-30,3.785
2020-03-31,4.739
2019-12-31,6.579
2019-09-30,7.342
2019-06-30,9.387
2019-03-31,8.583
2018-12-31,6.378
2018-09-30,7.732
2018-06-30,8.397
2018-03-31,6.116
2017-12-31,6.328
2017-09-30,8.448
2017-06-30,3.582
2017-03-31,2.259
2016-12-31,1.947
2016-09-30,1.823
2016-06-30,1.18
2016-03-31,1.974
2015-12-31,3.128
2015-09-30,2.341
2015-06-30,2.699
2015-03-31,3.627
2014-12-31,3.346
