DateTime,AltmanZScore
2023-03-31,0.6081
2022-12-31,0.6212
2022-09-30,0.6212
2022-06-30,0.6212
2022-03-31,0.6212
2021-12-31,0.6829
2021-09-30,0.6829
2021-06-30,0.6829
2021-03-31,0.6829
2020-12-31,0.6829
2020-09-30,0.2116
2020-06-30,0.2621
2020-03-31,0.2449
2019-12-31,0.295
2019-09-30,0.3144
2019-06-30,0.2823
2019-03-31,0.2823
2018-12-31,0.2857
2018-09-30,0.2962
2018-06-30,0.2962
2018-03-31,0.2962
2017-12-31,0.2962
2017-09-30,0.2962
2017-06-30,0.3249
2017-03-31,0.3249
2016-12-31,0.3437
2016-09-30,0.3034
