DateTime,AltmanZScore
2023-03-31,2.251
2022-12-31,2.152
2022-09-30,1.975
2022-06-30,1.893
2022-03-31,1.979
2021-12-31,2.061
2021-09-30,2.229
2021-06-30,2.26
2021-03-31,2.193
2020-12-31,2.099
2020-09-30,1.949
2020-06-30,1.939
2020-03-31,1.941
2019-12-31,2.023
2019-09-30,1.934
2019-06-30,1.995
2019-03-31,2.138
2018-12-31,2.073
2018-09-30,2.14
2018-06-30,2.223
2018-03-31,2.339
2017-12-31,2.324
2017-09-30,2.265
2017-06-30,2.278
2017-03-31,2.343
2016-12-31,2.188
2016-09-30,2.211
2016-06-30,2.262
2016-03-31,2.247
2015-12-31,2.135
2015-09-30,2.208
2015-06-30,2.417
2015-03-31,2.595
2014-12-31,2.468
2014-09-30,2.46
2014-06-30,2.42
2014-03-31,2.144
2013-12-31,1.906
2013-09-30,1.937
2013-06-30,1.978
2013-03-31,2.136
2012-12-31,2.178
2012-09-30,2.331
2012-06-30,2.537
2012-03-31,2.717
2011-12-31,2.53
2011-09-30,2.353
2011-06-30,2.411
2011-03-31,2.507
2010-12-31,2.387
