DateTime,AltmanZScore
2023-03-31,3.405
2022-12-31,3.601
2022-09-30,3.355
2022-06-30,3.894
2022-03-31,3.802
2021-12-31,3.676
2021-09-30,4.065
2021-06-30,4.514
2021-03-31,4.583
2020-12-31,5.075
2020-09-30,4.118
2020-06-30,3.392
2020-03-31,3.095
2019-12-31,3.936
2019-09-30,3.886
2019-06-30,4.338
2019-03-31,6.02
2018-12-31,5.693
2018-09-30,6.594
2018-06-30,8.094
2018-03-31,7.913
2017-12-31,9.182
2017-09-30,9.185
2017-06-30,10.39
2017-03-31,9.729
2016-12-31,10.44
2016-09-30,10.52
2016-06-30,9.17
2016-03-31,9.298
2015-12-31,8.134
2015-09-30,7.016
2015-06-30,7.228
2015-03-31,6.044
2014-12-31,6.158
2014-09-30,5.979
2014-06-30,7.546
2014-03-31,8.114
2013-12-31,109.85
2013-09-30,6.372
2013-06-30,341.62
2013-03-31,6.446
2012-12-31,308.18
2012-09-30,6.102
2012-06-30,635.41
2012-03-31,5.89
2011-12-31,414.28
2011-09-30,5.81
2011-06-30,190.57
2011-03-31,5.626
2010-12-31,6.12
