DateTime,AltmanZScore
2023-03-31,0.4385
2022-12-31,0.4393
2022-09-30,0.4237
2022-06-30,0.4572
2022-03-31,0.4878
2021-12-31,0.6573
2021-09-30,0.6489
2021-06-30,0.6447
2021-03-31,0.6336
2020-12-31,0.5964
2020-09-30,0.5699
2020-06-30,0.5565
2020-03-31,0.5524
2019-12-31,0.5709
2019-09-30,0.5696
2019-06-30,0.5479
2019-03-31,0.5467
2018-12-31,0.5608
2018-09-30,0.5612
2018-06-30,0.6209
2018-03-31,0.6392
2017-12-31,0.6375
2017-09-30,0.6305
2017-06-30,0.6375
2017-03-31,0.6298
2016-12-31,0.6481
2016-09-30,0.599
2016-06-30,0.6093
2016-03-31,0.6024
2015-12-31,0.5909
2015-09-30,0.5949
2015-06-30,0.6363
2015-03-31,0.6473
2014-12-31,0.6322
2014-09-30,0.611
2014-06-30,0.6226
2014-03-31,0.649
2013-12-31,0.6495
2013-09-30,0.6529
2013-06-30,0.6519
2013-03-31,0.6454
2012-12-31,0.635
2012-09-30,0.2646
2012-06-30,0.251
2012-03-31,0.251
2011-12-31,0.6295
2011-09-30,0.2471
2011-06-30,0.2348
2011-03-31,0.2455
2010-12-31,0.2548
