DateTime,AltmanZScore
2023-03-31,2.29
2022-12-31,2.214
2022-09-30,2.275
2022-06-30,2.459
2022-03-31,2.749
2021-12-31,2.572
2021-09-30,2.476
2021-06-30,2.44
2021-03-31,2.128
2020-12-31,1.58
2020-09-30,1.548
2020-06-30,1.55
2020-03-31,1.757
2019-12-31,2.232
2019-09-30,2.547
2019-06-30,2.655
2019-03-31,2.803
2018-12-31,3.055
2018-09-30,3.44
2018-06-30,3.722
2018-03-31,2.145
2017-12-31,1.986
2017-09-30,2.02
2017-06-30,2.209
2017-03-31,3.066
2016-12-31,3.324
2016-09-30,3.272
2016-06-30,3.369
2016-03-31,3.81
2015-12-31,3.546
2015-09-30,4.378
2015-06-30,5.239
2015-03-31,5.743
2014-12-31,6.41
2014-09-30,5.766
2014-06-30,6.423
2014-03-31,7.036
2013-12-31,6.797
2013-09-30,7.173
2013-06-30,7.929
2013-03-31,9.476
2012-12-31,9.271
2012-09-30,8.01
2012-06-30,8.76
2012-03-31,15.28
2011-12-31,9.897
2011-09-30,10.84
2011-06-30,14.26
2011-03-31,13.32
2010-12-31,10.56
