DateTime,AltmanZScore
2023-03-31,0.2691
2022-09-30,0.2893
2022-06-30,0.3333
2022-03-31,0.356
2021-12-31,0.3445
2021-09-30,0.3661
2021-06-30,0.4262
2021-03-31,0.4015
2020-12-31,0.3747
2020-09-30,0.2245
2020-06-30,0.2322
2020-03-31,0.2758
2019-12-31,0.3507
2019-09-30,0.3365
2019-06-30,0.2919
2019-03-31,0.2985
2018-12-31,0.2801
2018-09-30,0.4481
2018-06-30,0.3614
2018-03-31,0.4085
2017-12-31,0.4569
2017-09-30,0.4802
2017-06-30,0.4402
2017-03-31,0.4446
2016-12-31,0.4532
2016-09-30,0.403
2016-06-30,0.3741
2016-03-31,0.3611
2015-12-31,0.3189
2015-09-30,0.3651
2015-06-30,0.3305
2015-03-31,0.4216
2014-12-31,0.4052
2014-09-30,0.3718
2014-06-30,0.4567
2014-03-31,0.3526
2013-12-31,0.3481
2013-09-30,0.3834
2013-06-30,0.397
2013-03-31,0.3987
2012-12-31,0.4493
2012-09-30,0.1397
2012-06-30,0.1536
2012-03-31,0.1656
2011-12-31,0.4517
2011-09-30,0.1822
2011-06-30,0.1044
2011-03-31,0.0896
2010-12-31,0.0923
2010-09-30,0.1305
