DateTime,AltmanZScore
2023-03-31,1.578
2022-12-31,1.771
2022-09-30,1.864
2022-06-30,1.996
2022-03-31,1.88
2021-12-31,1.69
2021-09-30,1.724
2021-06-30,1.491
2021-03-31,1.308
2020-12-31,1.703
2020-09-30,1.301
2020-06-30,0.8176
2020-03-31,0.37
2019-10-31,0.7472
2019-07-31,1.355
2019-04-30,2.498
2019-01-31,1.671
2018-10-31,2.391
2018-07-31,2.966
2018-04-30,3.418
2018-01-31,2.231
2017-10-31,3.092
2017-07-31,3.875
2017-04-30,3.586
2017-01-31,2.369
2016-10-31,3.105
2016-07-31,3.805
2016-04-30,3.662
2016-01-31,2.548
2015-10-31,3.735
2015-07-31,4.741
2015-04-30,4.716
2015-01-31,3.192
2014-10-31,4.812
2014-07-31,6.322
2014-04-30,4.999
2014-01-31,3.107
2013-10-31,3.848
2013-07-31,4.35
2013-04-30,4.022
2013-01-31,2.195
2012-10-31,2.972
2012-07-31,3.45
