DateTime,AltmanZScore
2023-06-30,0.299
2023-03-31,0.4105
2022-12-31,0.4008
2022-09-30,0.3819
2022-06-30,0.3943
2022-03-31,0.4718
2021-12-31,0.4922
2021-09-30,0.4961
2021-06-30,0.5062
2021-03-31,0.5116
2020-12-31,0.471
2020-09-30,0.4156
2020-06-30,0.4544
2020-03-31,0.4492
2019-12-31,0.505
2019-09-30,0.4925
2019-06-30,0.4991
2019-03-31,0.494
2018-12-31,0.4682
2018-09-30,0.5046
2018-06-30,0.4839
2018-03-31,0.4563
2017-12-31,0.4419
2017-09-30,0.4449
2017-06-30,0.4408
2017-03-31,0.4405
2016-12-31,0.4276
2016-09-30,0.3898
2016-06-30,0.3942
2016-03-31,0.3845
2015-12-31,0.3787
2015-09-30,0.3899
2015-06-30,0.387
2015-03-31,0.4015
2014-12-31,0.3952
2014-09-30,0.3694
2014-06-30,0.3672
2014-03-31,0.3799
2013-12-31,0.3481
2013-09-30,0.4012
2013-06-30,0.411
2013-03-31,0.4054
2012-12-31,0.407
2012-09-30,0.2363
2012-06-30,0.238
2012-03-31,0.2705
2011-12-31,0.3598
2011-09-30,0.2253
2011-06-30,0.2239
2011-03-31,0.2348
