DateTime,AltmanZScore
2023-03-31,4.628
2022-12-31,16.41
2022-09-30,10.82
2022-06-30,10.95
2022-03-31,18.49
2021-12-31,38.56
2021-09-30,107.06
2021-06-30,67.09
2021-03-31,78.9
2020-12-31,86.52
2020-09-30,86.94
2020-06-30,74.96
2020-03-31,31.18
2019-12-31,12.12
2019-09-30,12.8
2019-06-30,15.03
2019-03-31,22.6
2018-12-31,36.45
2018-09-30,40.36
2018-06-30,27.62
2018-03-31,16.01
2017-12-31,22.6
2017-09-30,14.8
2017-06-30,15.39
2017-03-31,9.794
2016-12-31,9.925
2016-09-30,7.815
2016-06-30,7.83
2016-03-31,12.04
2015-12-31,17.45
2015-09-30,21.66
2015-06-30,34.85
2015-03-31,36.65
2014-12-31,36.49
