DateTime,AltmanZScore
2023-03-31,0.3932
2022-12-31,0.2764
2022-09-30,0.3
2022-06-30,0.3137
2022-03-31,0.4111
2021-12-31,0.4813
2021-09-30,0.4958
2021-06-30,0.4973
2021-03-31,0.4328
2020-12-31,0.3254
2020-09-30,0.2831
2020-06-30,0.2665
2020-03-31,0.2985
2019-12-31,0.2932
2019-09-30,0.3246
2019-06-30,0.2797
2019-03-31,0.2568
2018-12-31,0.2237
2018-09-30,0.2008
2018-06-30,0.1739
2018-03-31,0.1202
2017-12-31,0.1021
2017-09-30,0.1239
2017-06-30,0.1589
2017-03-31,0.1734
2016-12-31,0.2058
2016-09-30,0.2042
2016-06-30,0.1826
2016-03-31,0.1672
2015-12-31,0.1901
2015-09-30,0.2173
2015-06-30,0.2503
2015-03-31,0.2366
2014-12-31,0.234
2014-09-30,0.2426
2014-06-30,0.1827
2014-03-31,0.2557
2013-12-31,0.2197
2013-09-30,0.2705
2013-06-30,0.262
2013-03-31,0.3144
2012-12-31,0.2397
2012-09-30,0.2059
2012-06-30,0.2098
2012-03-31,0.1933
2011-12-31,0.2043
2011-09-30,0.2109
2011-06-30,0.2075
2011-03-31,0.3069
2010-12-31,0.3138
