DateTime,AltmanZScore
2023-03-31,-21.72
2022-12-31,-27.09
2022-09-30,-18.6
2022-06-30,-12.68
2022-03-31,-11.76
2021-12-31,-6.801
2021-09-30,-3.535
2021-06-30,-2.637
2021-03-31,-0.8759
2020-12-31,-1.577
2020-09-30,-5.113
2020-06-30,-4.52
2020-03-31,-4.52
2019-12-31,-4.52
2019-09-30,-4.52
2019-06-30,-4.52
2019-03-31,-6.958
2018-12-31,-7.669
2018-09-30,-5.962
2018-06-30,-5.907
2018-03-31,-3.503
2017-12-31,-5.499
2017-09-30,-10.28
2017-06-30,-9.621
2017-03-31,-9.12
2016-12-31,-8.314
2016-09-30,-5.233
2016-06-30,-4.17
2016-03-31,-5.619
2015-12-31,-5.601
2015-09-30,-5.73
2015-06-30,-3.019
2015-03-31,0.6191
2014-12-31,0.12
2014-09-30,2.286
2014-06-30,4.523
2014-03-31,6.218
2013-12-31,3.954
2013-09-30,1.564
2013-06-30,14.71
2013-03-31,24.28
2012-12-31,15.52
2012-09-30,26.29
2012-06-30,24.18
2012-03-31,16.71
2011-12-31,16.82
2011-09-30,9.106
2011-06-30,13.64
2011-03-31,8.96
2010-12-31,3.568
