DateTime,AltmanZScore
2023-03-31,-1.711
2022-12-31,-1.26
2022-09-30,-0.3296
2022-06-30,0.0289
2022-03-31,0.8268
2021-12-31,3.795
2021-09-30,6.305
2021-06-30,24.83
2021-03-31,51.57
2020-12-31,-9.474
2020-09-30,-0.5598
2020-06-30,-5.221
2020-03-31,-5.364
2019-12-31,-3.893
2019-09-30,-14.27
2019-06-30,-14.67
2019-03-31,-14.67
2018-12-31,-15.73
2018-09-30,-2.987
2018-06-30,-2.108
2018-03-31,-2.0
2017-12-31,-1.942
2017-09-30,0.5306
2017-06-30,0.7501
2017-03-31,0.9263
2016-12-31,0.9898
2016-09-30,0.8974
2016-06-30,1.014
2016-03-31,1.099
2015-12-31,1.326
2015-09-30,1.389
2015-06-30,1.648
2015-03-31,1.473
2014-12-31,1.393
2014-09-30,1.339
2014-06-30,1.491
2014-03-31,2.027
2013-12-31,2.107
2013-09-30,2.701
2013-06-30,3.145
2013-03-31,4.011
2012-12-31,3.223
2012-09-30,3.315
2012-06-30,3.38
2012-03-31,3.631
2011-12-31,3.898
2011-09-30,3.679
2011-06-30,4.353
2011-03-31,5.336
2010-12-31,5.472
