DateTime,AltmanZScore
2023-03-31,0.4096
2022-12-31,0.284
2022-09-30,0.3939
2022-06-30,0.4182
2022-03-31,0.5002
2021-12-31,0.5124
2021-09-30,0.47
2021-06-30,0.4621
2021-03-31,0.4369
2020-12-31,0.3715
2020-09-30,0.2979
2020-06-30,0.3158
2020-03-31,0.3666
2019-12-31,0.3838
2019-09-30,0.4222
2019-06-30,0.4103
2019-03-31,0.4009
2018-12-31,0.3985
2018-09-30,0.4535
2018-06-30,0.4535
2018-03-31,0.4535
2017-12-31,0.4177
2017-09-30,0.4177
2017-06-30,0.4177
2017-03-31,0.4177
2016-12-31,0.3619
2016-09-30,0.3619
2016-06-30,0.3619
2015-06-30,0.3619
2015-03-31,0.3619
2014-12-31,0.2824
