DateTime,AltmanZScore
2023-03-31,5.947
2022-12-31,6.325
2022-09-30,5.845
2022-06-30,5.581
2022-03-31,5.464
2021-12-31,6.242
2021-09-30,4.992
2021-06-30,4.962
2021-03-31,5.16
2020-12-31,4.455
2020-09-30,3.846
2020-06-30,3.597
2020-03-31,3.72
2019-12-31,5.087
2019-09-30,4.636
2019-06-30,4.75
2019-03-31,5.719
2018-12-31,7.373
2018-09-30,9.469
2018-06-30,9.248
2018-03-31,8.77
2017-12-31,9.411
2017-09-30,9.301
2017-06-30,9.933
2017-03-31,9.176
2016-12-31,8.734
2016-09-30,8.026
2016-06-30,7.852
2016-03-31,7.307
2015-12-31,6.715
2015-09-30,6.183
2015-06-30,6.776
2015-03-31,6.535
2014-12-31,15.21
2014-09-30,12.81
2014-06-30,13.72
2014-03-31,13.46
2013-12-31,14.61
2013-09-30,13.32
2013-06-30,13.97
2013-03-31,13.4
2012-12-31,16.58
2012-09-30,14.39
2012-06-30,14.47
2012-03-31,14.19
2011-12-31,13.82
2011-09-30,7.61
2011-06-30,9.196
2011-03-31,8.605
2010-12-31,8.565
