DateTime,AltmanZScore
2023-03-31,1.037
2022-12-31,1.091
2022-09-30,1.049
2022-06-30,1.406
2022-03-31,1.7
2021-12-31,1.8
2021-09-30,1.521
2021-06-30,1.545
2021-03-31,1.234
2020-12-31,0.7282
2020-09-30,0.6177
2020-06-30,0.9211
2020-03-31,0.7572
2019-12-31,1.795
2019-09-30,1.408
2019-06-30,1.309
2019-03-31,1.56
2018-12-31,1.573
2018-09-30,1.46
2018-06-30,1.479
2018-03-31,1.239
2017-12-31,1.31
2017-09-30,1.32
2017-06-30,1.338
2017-03-31,1.206
2016-12-31,1.398
2016-09-30,1.206
2016-06-30,1.037
2016-03-31,0.8486
2015-12-31,0.9337
2015-09-30,0.9751
2015-06-30,1.106
2015-03-31,1.119
2014-12-31,0.8829
2014-09-30,0.9313
2014-06-30,1.31
2014-03-31,1.235
2013-12-31,1.65
2013-09-30,1.614
2013-06-30,1.275
2013-03-31,1.325
2012-12-31,1.214
2012-09-30,0.5312
