DateTime,AltmanZScore
2023-03-31,1.856
2022-12-31,1.582
2022-09-30,1.521
2022-06-30,1.576
2022-03-31,1.947
2021-12-31,1.777
2021-09-30,1.593
2021-06-30,1.362
2021-03-31,0.4695
2020-12-31,0.2794
2020-09-30,0.2592
2020-06-30,0.2191
2020-03-31,0.5631
2019-12-31,0.7235
2019-09-30,0.6558
2019-06-30,0.655
2019-03-31,0.6792
2018-12-31,0.9366
2018-09-30,1.127
2018-06-30,1.071
2018-03-31,0.8853
2017-12-31,0.8656
2017-09-30,2.557
2017-06-30,2.346
2017-03-31,1.857
2016-12-31,1.691
2016-09-30,1.814
2016-06-30,1.444
2016-03-31,1.499
2015-12-31,1.328
2015-09-30,0.6744
2015-06-30,4.929
2015-03-31,4.198
2014-12-31,3.201
2014-09-30,4.046
2014-06-30,5.578
2014-03-31,6.052
2013-12-31,4.884
2013-09-30,4.373
2013-06-30,2.371
2013-03-31,4.608
2012-12-31,5.685
2012-09-30,3.409
2012-06-30,5.86
2012-03-31,3.619
2011-12-31,3.743
2011-09-30,4.332
2011-06-30,2.45
2011-03-31,4.306
2010-12-31,1.973
