DateTime,AltmanZScore
2021-12-31,0.8848
2021-09-30,0.8848
2021-06-30,0.8848
2021-03-31,0.8848
2020-12-31,0.7722
2020-09-30,0.7722
2020-06-30,0.7722
2020-03-31,0.7722
2019-12-31,1.203
2019-09-30,1.203
2019-06-30,1.203
2019-03-31,1.306
2018-12-31,0.7775
2018-09-30,2.016
2018-06-30,1.712
2018-03-31,1.762
2017-12-31,1.17
2017-09-30,1.072
2017-06-30,1.012
2017-03-31,1.012
2016-12-31,0.6797
2016-09-30,0.6797
2016-06-30,1.186
2016-03-31,1.198
2015-12-31,1.155
2015-09-30,0.9634
2015-06-30,0.8908
2015-03-31,1.01
2014-12-31,0.951
2014-09-30,1.05
2014-06-30,1.037
2014-03-31,1.037
2013-12-31,0.8205
2013-09-30,0.822
2013-06-30,0.743
2013-03-31,0.7796
2012-12-31,0.6834
2012-09-30,0.6834
2012-06-30,0.6834
2012-03-31,0.7834
2011-12-31,0.657
2011-09-30,0.7572
2011-06-30,0.7572
2011-03-31,0.7572
2010-12-31,0.7572
2010-09-30,0.7572
2010-06-30,0.6912
2010-03-31,0.6912
2009-12-31,0.6912
2009-09-30,0.6912
