DateTime,AltmanZScore
2023-04-30,2.9
2023-01-31,2.856
2022-10-31,2.581
2022-07-31,2.702
2022-04-30,3.233
2022-01-31,3.098
2021-10-31,2.984
2021-07-31,2.968
2021-04-30,3.118
2021-01-31,2.692
2020-10-31,2.33
2020-07-31,2.488
2020-04-30,2.387
2020-01-31,2.979
2019-10-31,2.595
2019-07-31,2.697
2019-04-30,3.327
2019-01-31,3.581
2018-10-31,3.173
2018-07-31,3.574
2018-04-30,3.628
2018-01-31,3.99
2017-10-31,2.91
2017-07-31,2.941
2017-04-30,3.257
2017-01-31,3.208
2016-10-31,4.725
2016-07-31,6.546
2016-04-30,10.11
2016-01-31,8.385
2015-10-31,6.058
2015-07-31,8.373
2015-04-30,12.17
2015-01-31,8.466
2014-10-31,5.394
2014-07-31,5.718
2014-04-30,7.09
2014-01-31,6.43
2013-10-31,4.28
2013-07-31,4.488
2013-04-30,5.848
2013-01-31,4.887
2012-10-31,3.327
2012-07-31,4.317
2012-04-30,5.958
2012-01-31,5.361
2011-10-31,3.582
2011-07-31,4.302
2011-04-30,9.24
2011-01-31,6.822
