DateTime,AltmanZScore
2023-03-31,2.793
2022-12-31,2.724
2022-09-30,2.254
2022-06-30,2.282
2022-03-31,2.241
2021-12-31,2.41
2021-09-30,2.492
2021-06-30,2.223
2021-03-31,1.895
2020-12-31,1.737
2020-09-30,2.359
2020-06-30,2.616
2020-03-31,2.999
2019-12-31,2.801
2019-09-30,2.725
2019-06-30,3.026
2019-03-31,2.957
2018-12-31,2.843
2018-09-30,3.226
2018-06-30,3.002
2018-03-31,3.124
2017-12-31,2.912
2017-09-30,3.865
2017-06-30,3.801
2017-03-31,3.684
2016-12-31,3.74
2016-09-30,3.927
2016-06-30,4.588
2016-03-31,4.98
2015-12-31,5.538
2015-09-30,5.464
2015-06-30,7.782
2015-03-31,7.334
2014-12-31,7.598
2014-09-30,9.371
2014-06-30,7.544
2014-03-31,6.488
2013-12-31,7.948
2013-09-30,6.727
2013-06-30,5.682
2013-03-31,5.263
2012-12-31,4.289
2012-09-30,3.777
2012-06-30,3.146
2012-03-31,3.069
2011-12-31,3.927
2011-09-30,4.906
2011-06-30,5.112
2011-03-31,5.036
2010-12-31,5.497
