DateTime,AltmanZScore
2022-12-31,0.4341
2022-09-30,0.8306
2022-06-30,1.025
2022-03-31,0.9801
2021-12-31,0.4207
2021-09-30,0.4249
2021-06-30,0.468
2021-03-31,-0.5936
2020-12-31,-2.488
2020-09-30,-3.798
2020-06-30,-4.477
2020-03-31,-4.477
2019-12-31,-5.037
2019-09-30,-5.037
2019-06-30,-5.037
2019-03-31,-5.037
2018-12-31,-1.9
2018-09-30,-1.9
2018-06-30,-1.866
2018-03-31,-1.866
2017-12-31,-1.59
2017-09-30,-1.338
2017-06-30,-1.338
2017-03-31,-1.338
2016-12-31,-1.776
2016-09-30,-1.776
2016-06-30,-1.776
2016-03-31,-1.776
2015-12-31,-2.381
2015-09-30,-2.381
2015-06-30,-2.381
2015-03-31,-2.381
2014-12-31,-0.274
2014-09-30,-0.274
2014-06-30,-0.274
2014-03-31,-0.274
2013-12-31,0.1917
2013-09-30,0.1917
2013-06-30,0.1917
2013-03-31,0.1917
2012-12-31,-1.806
2012-09-30,0.4696
2012-06-30,0.5465
2012-03-31,0.7236
2011-12-31,0.6163
2011-09-30,0.6847
2011-06-30,0.6847
2011-03-31,0.6847
2010-12-31,0.9298
