DateTime,AltmanZScore
2023-03-31,15.05
2022-12-31,17.06
2022-09-30,14.47
2022-06-30,15.58
2022-03-31,18.75
2021-12-31,28.08
2021-09-30,23.13
2021-06-30,21.71
2021-03-31,20.86
2020-12-31,23.7
2020-09-30,15.08
2020-06-30,15.97
2020-03-31,12.66
2019-12-31,21.69
2019-09-30,19.78
2019-06-30,18.56
2019-03-31,15.83
2018-12-31,16.87
2018-09-30,18.13
2018-06-30,16.73
2018-03-31,16.08
2017-12-31,14.4
2017-09-30,12.52
2017-06-30,11.78
2017-03-31,12.14
2016-12-31,11.23
2016-09-30,10.24
2016-06-30,9.013
2016-03-31,8.687
2015-12-31,9.189
2015-09-30,8.54
2015-06-30,8.712
2015-03-31,9.21
2014-12-31,9.538
2014-09-30,7.641
2014-06-30,8.145
2014-03-31,8.001
2013-12-31,8.811
2013-09-30,7.105
2013-06-30,15.28
2013-03-31,13.03
2012-12-31,14.04
2012-09-30,11.92
2012-06-30,14.22
2012-03-31,14.27
2011-12-31,20.09
2011-09-30,16.61
2011-06-30,20.05
2011-03-31,19.28
2010-12-31,25.98
