DateTime,AltmanZScore
2023-03-31,0.4802
2022-12-31,0.3702
2022-09-30,-0.0841
2022-06-30,0.1539
2022-03-31,-0.7207
2021-12-31,-1.412
2021-09-30,-3.249
2021-06-30,-4.971
2021-03-31,-1.4
2020-12-31,-2.128
2020-09-30,-1.017
2020-06-30,-1.27
2020-03-31,-1.006
2019-12-31,-0.6673
2019-09-30,-0.8327
2019-06-30,-0.8393
2019-03-31,-0.5871
2018-12-31,-0.5999
2018-09-30,-0.2025
2018-06-30,-0.2254
2018-03-31,-0.0869
2017-12-31,-0.1354
2017-09-30,-0.069
2017-06-30,-0.0688
2017-03-31,0.0089
2016-12-31,-0.0014
2016-09-30,0.0954
2016-06-30,0.0495
2016-03-31,0.0601
2015-12-31,0.4837
2015-09-30,0.4457
2015-06-30,0.8744
2015-03-31,0.7996
2014-12-31,0.7743
2014-09-30,0.9718
2014-06-30,1.584
2014-03-31,1.663
2013-12-31,2.232
2013-09-30,1.514
2013-06-30,1.111
