DateTime,AltmanZScore
2023-06-30,10.24
2023-03-31,9.743
2022-12-31,8.719
2022-09-30,9.732
2022-06-30,11.3
2022-03-31,13.4
2021-12-31,13.41
2021-09-30,13.03
2021-06-30,12.57
2021-03-31,10.94
2020-12-31,9.54
2020-09-30,9.115
2020-06-30,10.38
2020-03-31,9.164
2019-12-31,9.729
2019-09-30,9.797
2019-06-30,9.351
2019-03-31,10.24
2018-12-31,10.32
2018-09-30,12.17
2018-06-30,11.91
2018-03-31,11.82
2017-12-31,12.23
2017-09-30,15.02
2017-06-30,15.25
2017-03-31,15.24
2016-12-31,14.08
2016-09-30,15.37
2016-06-30,13.42
2016-03-31,14.42
2015-12-31,14.2
2015-09-30,11.74
2015-06-30,10.55
2015-03-31,11.48
2014-12-31,10.91
2014-09-30,11.24
2014-06-30,11.54
2014-03-31,11.45
2013-12-31,11.92
2013-09-30,10.32
2013-06-30,10.23
2013-03-31,9.798
2012-12-31,8.65
2012-09-30,9.133
2012-06-30,7.622
2012-03-31,10.68
2011-12-31,11.25
2011-09-30,9.524
2011-06-30,10.11
2011-03-31,12.68
