DateTime,AltmanZScore
2023-03-31,2.812
2022-12-31,2.8
2022-09-30,2.902
2022-06-30,2.396
2022-03-31,2.366
2021-12-31,2.752
2021-09-30,2.612
2021-06-30,2.534
2021-03-31,1.989
2020-12-31,1.496
2020-09-30,1.872
2020-06-30,1.814
2020-03-31,1.62
2019-12-31,1.777
2019-09-30,1.86
2019-06-30,1.74
2019-03-31,2.151
2018-12-31,2.391
2018-09-30,1.821
2018-06-30,2.026
2018-03-31,1.886
2017-12-31,1.757
2017-09-30,2.132
2017-06-30,2.295
2017-03-31,2.396
2016-12-31,2.252
2016-09-30,2.506
2016-06-30,2.678
2016-03-31,2.474
2015-12-31,2.704
2015-09-30,2.915
2015-06-30,3.412
2015-03-31,3.445
2014-12-31,3.337
2014-09-30,3.758
2014-06-30,3.568
2014-03-31,3.424
2013-12-31,2.883
2013-09-30,3.35
2013-06-30,3.597
2013-03-31,3.448
2012-12-31,3.125
2012-09-30,2.871
2012-06-30,3.12
2012-03-31,3.097
2011-12-31,3.217
2011-09-30,3.111
2011-06-30,2.896
2011-03-31,2.499
2010-12-31,2.241
