DateTime,AltmanZScore
2023-03-31,2.117
2022-12-31,2.248
2022-09-30,2.4
2022-06-30,2.704
2022-03-31,2.892
2021-12-31,2.703
2021-09-30,2.724
2021-06-30,2.928
2021-03-31,2.736
2020-12-31,1.606
2020-09-30,1.296
2020-06-30,0.7102
2020-03-31,0.8992
2019-12-31,1.519
2019-09-30,0.9052
2019-06-30,1.752
2019-03-31,1.925
2018-12-31,1.169
2018-09-30,0.9593
2018-06-30,1.28
2018-03-31,1.121
2017-12-31,1.518
2017-09-30,2.777
2017-06-30,1.842
2017-03-31,1.686
2016-12-31,1.31
2016-09-30,3.321
2016-06-30,4.159
2016-03-31,5.78
2015-12-31,6.86
2015-09-30,9.906
2015-06-30,15.96
2015-03-31,18.54
2014-12-31,20.81
2014-09-30,32.56
2014-06-30,12.07
