DateTime,AltmanZScore
2023-03-31,1.554
2022-12-31,1.596
2022-09-30,1.61
2022-06-30,1.62
2022-03-31,1.56
2021-12-31,1.583
2021-09-30,1.434
2021-06-30,1.329
2021-03-31,1.328
2020-12-31,1.144
2020-09-30,1.126
2020-06-30,1.214
2020-03-31,1.47
2019-12-31,1.672
2019-09-30,1.706
2019-06-30,1.772
2019-03-31,1.829
2018-12-31,2.047
2018-09-30,2.05
2018-06-30,1.989
2018-03-31,1.977
2017-12-31,2.087
2017-09-30,2.069
2017-06-30,2.125
2017-03-31,2.206
2016-12-31,2.188
2016-09-30,2.01
2016-06-30,1.982
2016-03-31,2.09
2015-12-31,2.117
2015-09-30,2.248
2015-06-30,2.224
2015-03-31,2.215
2014-12-31,2.034
2014-09-30,2.04
2014-06-30,2.041
2014-03-31,1.994
2013-12-31,1.992
2013-09-30,1.921
2013-06-30,1.866
2013-03-31,1.806
2012-12-31,1.872
2012-09-30,1.878
2012-06-30,1.954
2012-03-31,1.909
2011-12-31,1.971
2011-09-30,1.874
2011-06-30,1.808
2011-03-31,1.751
2010-12-31,1.678
