DateTime,AltmanZScore
2023-06-30,0.5325
2023-03-31,0.49
2022-12-31,0.4865
2022-09-30,0.5144
2022-06-30,0.5053
2022-03-31,0.5373
2021-12-31,0.5697
2021-09-30,0.5805
2021-06-30,0.5506
2021-03-31,0.525
2020-12-31,0.4658
2020-09-30,0.3654
2020-06-30,0.4714
2020-03-31,0.3589
2019-12-31,0.4799
2019-09-30,0.3901
2019-06-30,0.4041
2019-03-31,0.4079
2018-12-31,0.3821
2018-09-30,0.3777
2018-06-30,0.363
2018-03-31,0.3936
2017-12-31,0.44
2017-09-30,0.4574
2017-06-30,0.4453
2017-03-31,0.4578
2016-12-31,0.4653
2016-09-30,0.4699
2016-06-30,0.4826
2016-03-31,0.4935
2015-12-31,0.5012
2015-09-30,0.5415
2015-06-30,0.5476
2015-03-31,0.5386
2014-12-31,0.553
2014-09-30,0.5784
2014-06-30,0.5157
2014-03-31,0.5542
2013-12-31,0.5318
2013-09-30,0.4905
2013-06-30,0.4625
2013-03-31,0.4678
2012-12-31,0.461
2012-09-30,0.2926
2012-06-30,0.2855
2012-03-31,0.1995
2011-12-31,0.3708
2011-09-30,0.1414
2011-06-30,0.114
2011-03-31,0.063
