DateTime,AltmanZScore
2023-03-31,1.999
2022-12-31,2.17
2022-09-30,2.198
2022-06-30,2.45
2022-03-31,2.984
2021-12-31,3.482
2021-09-30,4.77
2021-06-30,5.155
2021-03-31,5.122
2020-12-31,4.503
2020-09-30,4.284
2020-06-30,4.139
2020-03-31,3.493
2019-12-31,3.556
2019-09-30,3.173
2019-06-30,2.585
2019-03-31,2.427
2018-12-31,2.147
2018-09-30,2.822
2018-06-30,3.078
2018-03-31,3.207
2017-12-31,3.642
2017-09-30,3.634
2017-06-30,3.634
2017-03-31,3.238
2016-12-31,3.342
2016-09-30,3.169
2016-06-30,3.807
2016-03-31,3.599
2015-12-31,3.332
2015-09-30,4.027
2015-06-30,4.601
2015-03-31,4.559
2014-12-31,4.163
2014-09-30,3.668
2014-06-30,3.392
2014-03-31,3.537
2013-12-31,4.176
2013-09-30,3.599
2013-06-30,3.246
2013-03-31,3.184
2012-12-31,2.866
2012-09-30,4.138
2012-06-30,3.706
2012-03-31,3.099
2011-12-31,2.725
2011-09-30,3.397
2011-06-30,3.483
2011-03-31,3.208
2010-12-31,2.902
