DateTime,AltmanZScore
2023-03-31,3.377
2022-12-31,3.153
2022-09-30,2.786
2022-06-30,4.06
2022-03-31,4.073
2021-12-31,4.538
2021-09-30,4.146
2021-06-30,4.291
2021-03-31,3.981
2020-12-31,3.09
2020-09-30,2.372
2020-06-30,1.919
2020-03-31,2.652
2019-12-31,3.504
2019-09-30,3.534
2019-06-30,3.62
2019-03-31,3.916
2018-12-31,5.304
2018-09-30,5.205
2018-06-30,4.931
2018-03-31,6.036
2017-12-31,5.797
2017-09-30,5.425
2017-06-30,4.43
2017-03-31,4.115
2016-12-31,3.294
2016-09-30,2.851
2016-06-30,2.81
2016-03-31,2.578
2015-12-31,2.694
2015-09-30,2.637
2015-06-30,3.047
2015-03-31,2.551
2014-12-31,2.262
2014-09-30,4.541
2014-06-30,5.329
2014-03-31,5.351
2013-12-31,5.817
2013-09-30,5.34
2013-06-30,4.836
2013-03-31,4.89
2012-12-31,5.141
2012-09-30,5.628
2012-06-30,4.938
2012-03-31,3.807
2011-12-31,3.983
2011-09-30,4.925
2011-06-30,6.837
2011-03-31,7.502
2010-12-31,7.35
