DateTime,AltmanZScore
2023-03-31,5.772
2022-12-31,5.597
2022-09-30,8.231
2022-06-30,8.526
2022-03-31,10.17
2021-12-31,8.481
2021-09-30,7.688
2021-06-30,6.957
2021-03-31,6.804
2020-12-31,6.537
2020-09-30,5.073
2020-06-30,6.121
2020-03-31,6.381
2019-12-31,7.244
2019-09-30,7.471
2019-06-30,7.054
2019-03-31,7.058
2018-12-31,7.15
2018-09-30,8.288
2018-06-30,6.573
2018-03-31,5.655
2017-12-31,5.35
2017-09-30,5.056
2017-06-30,5.196
2017-03-31,7.486
2016-12-31,6.199
2016-09-30,6.011
2016-06-30,4.922
2016-03-31,6.89
2015-12-31,6.461
2015-09-30,5.837
2015-06-30,4.999
2015-03-31,4.005
2014-12-31,3.832
2014-09-30,2.566
2014-06-30,2.495
2014-03-31,2.567
2013-12-31,3.213
2013-09-30,4.437
2013-06-30,3.597
2013-03-31,3.156
2012-12-31,2.532
2012-09-30,2.361
2012-06-30,2.585
2012-03-31,2.677
2011-12-31,3.444
2011-09-30,3.989
2011-06-30,4.663
2011-03-31,4.067
2010-12-31,3.017
