DateTime,AltmanZScore
2023-05-31,2.738
2023-02-28,2.847
2022-11-30,2.496
2022-08-31,2.604
2022-05-31,3.124
2022-02-28,3.779
2021-11-30,5.122
2021-08-31,5.128
2021-05-31,4.809
2021-02-28,5.225
2020-11-30,4.753
2020-08-31,5.767
2020-05-31,5.784
2020-02-29,5.436
2019-11-30,6.19
2019-08-31,5.574
2019-05-31,5.236
2019-02-28,4.764
2018-11-30,5.306
2018-08-31,5.258
2018-05-31,4.659
2018-02-28,4.474
2017-11-30,3.692
2017-08-31,3.841
2017-05-31,3.896
2017-02-28,3.872
2016-11-30,3.222
2016-08-31,3.478
2016-05-31,3.65
2016-02-29,3.555
2015-11-30,4.177
2015-08-31,3.712
2015-05-31,4.01
2015-02-28,3.77
2014-11-30,2.742
2014-08-31,2.445
2014-05-31,3.157
2014-02-28,4.618
2013-11-30,3.812
2013-08-31,3.489
2013-05-31,3.625
2013-02-28,3.408
2012-11-30,2.869
2012-08-31,2.799
2012-05-31,2.918
2012-02-29,2.821
2011-11-30,3.117
2011-08-31,2.905
2011-05-31,2.962
2011-02-28,2.589
