DateTime,AltmanZScore
2023-03-31,0.2921
2022-12-31,0.2798
2022-09-30,0.3053
2022-06-30,0.3654
2022-03-31,0.4063
2021-12-31,0.4121
2021-09-30,0.4777
2021-06-30,0.4883
2021-03-31,0.474
2020-12-31,0.4536
2020-09-30,0.4313
2020-06-30,0.4082
2020-03-31,0.4419
2019-12-31,0.443
2019-09-30,0.4429
2019-06-30,0.4196
2019-03-31,0.4084
2018-12-31,0.3922
2018-09-30,0.3855
2018-06-30,0.3682
2018-03-31,0.3432
2017-12-31,0.3441
2017-09-30,0.2779
2017-06-30,0.2632
2017-03-31,0.3813
2016-12-31,0.3917
2016-09-30,0.3845
2016-06-30,0.3194
2016-03-31,0.4004
2015-12-31,0.4538
2015-09-30,0.4557
2015-06-30,0.4429
2015-03-31,0.4348
2014-12-31,0.5019
2014-09-30,0.5142
2014-06-30,0.538
2014-03-31,0.5401
2013-12-31,0.563
2013-09-30,0.6014
2013-06-30,0.591
2013-03-31,0.6371
2012-12-31,0.6683
2012-09-30,0.3917
2012-06-30,0.7507
2012-03-31,0.4115
2011-12-31,0.4073
2011-09-30,0.3768
2011-06-30,0.3825
2011-03-31,0.4708
2010-12-31,0.6036
