DateTime,AltmanZScore
2023-03-31,-0.4153
2022-12-31,-1.005
2022-09-30,-2.787
2022-06-30,-3.593
2022-03-31,-4.488
2021-12-31,-4.014
2021-09-30,-3.746
2021-06-30,-2.436
2021-03-31,-0.134
2020-12-31,-3.05
2020-09-30,-9.151
2020-06-30,-11.27
2020-03-31,-14.79
2019-12-31,-14.23
2019-09-30,-14.01
2019-06-30,-14.53
2019-03-31,-17.49
2018-12-31,-16.53
2018-09-30,-22.58
2018-06-30,-21.02
2018-03-31,-25.4
2017-12-31,-27.82
2017-09-30,-25.08
2017-06-30,-24.52
2017-03-31,-22.8
2016-12-31,-24.0
2016-09-30,-23.18
2016-06-30,-22.14
2016-03-31,-23.22
2015-12-31,-21.83
2015-09-30,-15.57
2015-06-30,-13.13
2015-03-31,-12.07
2014-12-31,-11.25
2014-09-30,-11.25
2014-06-30,-12.74
2014-03-31,-14.94
2013-12-31,-5.772
2013-09-30,-4.918
2013-06-30,-4.897
2013-03-31,-4.292
2012-12-31,-4.119
2012-09-30,-3.529
2012-06-30,-1.997
2012-03-31,-1.062
2011-12-31,0.8446
2011-09-30,-4.051
2011-06-30,-3.184
2011-03-31,-18.04
2010-12-31,-20.76
