DateTime,AltmanZScore
2023-04-30,4.992
2023-01-31,5.194
2022-10-31,4.822
2022-07-31,4.781
2022-04-30,5.336
2022-01-31,6.846
2021-10-31,7.044
2021-07-31,7.075
2021-04-30,6.75
2021-01-31,5.303
2020-10-31,4.811
2020-07-31,4.07
2020-04-30,3.438
2020-01-31,3.927
2019-10-31,3.942
2019-07-31,3.719
2019-04-30,3.78
2019-01-31,5.307
2018-10-31,5.904
2018-07-31,6.65
2018-04-30,7.576
2018-01-31,7.141
2017-10-31,6.378
2017-07-31,6.589
2017-04-30,8.212
2017-01-31,9.016
2016-10-31,9.309
2016-07-31,8.505
2016-04-30,9.709
2016-01-31,8.938
2015-10-31,8.432
2015-07-31,10.08
2015-04-30,10.76
2015-01-31,10.81
2014-10-31,10.34
2014-07-31,10.98
2014-04-30,12.53
2014-01-31,13.55
2013-10-31,12.16
2013-07-31,12.4
2013-04-30,12.01
2013-01-31,12.47
2012-10-31,12.39
2012-07-31,13.39
2012-04-30,13.74
2012-01-31,12.45
2011-10-31,10.89
2011-07-31,10.22
2011-04-30,10.31
2011-01-31,9.544
