DateTime,AltmanZScore
2023-04-30,3.367
2023-01-31,3.558
2022-10-31,3.535
2022-07-31,3.436
2022-04-30,3.733
2022-01-31,4.433
2021-10-31,5.146
2021-07-31,5.976
2021-04-30,6.017
2021-01-31,5.062
2020-10-31,4.294
2020-07-31,3.926
2020-04-30,3.805
2020-01-31,4.527
2019-10-31,4.392
2019-07-31,4.334
2019-04-30,4.833
2019-01-31,5.593
2018-10-31,5.485
2018-07-31,6.576
2018-04-30,6.037
2018-01-31,5.636
2017-10-31,6.474
2017-07-31,6.804
2017-04-30,6.654
2017-01-31,5.591
2016-10-31,4.626
2016-07-31,4.207
2016-04-30,4.175
2016-01-31,10.88
2015-10-31,9.867
2015-07-31,9.994
2015-04-30,10.8
2015-01-31,7.72
2014-10-31,7.34
2014-07-31,7.664
2014-04-30,7.591
2014-01-31,8.242
2013-10-31,7.578
2013-07-31,8.22
2013-04-30,8.959
2013-01-31,7.334
2012-10-31,6.969
2012-07-31,6.274
2012-04-30,6.287
2012-01-31,6.967
2011-10-31,5.938
2011-07-31,5.983
2011-04-30,6.925
2011-01-31,6.92
