DateTime,AltmanZScore
2023-03-31,0.282
2022-12-31,0.2752
2022-09-30,0.2994
2022-06-30,0.3854
2022-03-31,0.4504
2021-12-31,0.4949
2021-09-30,0.5262
2021-06-30,0.547
2021-03-31,0.5013
2020-12-31,0.4264
2020-09-30,0.3582
2020-06-30,0.3447
2020-03-31,0.3734
2019-12-31,0.3728
2019-09-30,0.3992
2019-06-30,0.342
2019-03-31,0.3334
2018-12-31,0.2621
2018-09-30,0.4579
2018-06-30,0.4378
2018-03-31,0.4663
2017-12-31,0.4496
2017-09-30,0.471
2017-06-30,0.4734
2017-03-31,0.4476
2016-12-31,0.4221
2016-09-30,0.3871
2016-06-30,0.4014
